bhk,sqft,price_of_property,per_sqrt,furnishing,bathroom,car_parking,builders_name
"3 BHK Flat for Sale in Arekere, Bangalore",1499 sqft,92 Lac,₹6137 per sqft,Unfurnished,2,1 Covered,N/A
"2 BHK Flat for Sale in Thanisandra Main Road, Bangalore",1070 sqft,2.15 Cr,₹16797 per sqft,Unfurnished,2,N/A,N/A
4 BHK Villa for Sale in Yelahanka Bangalore,3523 sqft,9.90 Cr,₹24596 per sqft,Unfurnished,6,N/A,N/A
"3 BHK Flat for Sale in Carmelaram, Bangalore",1305 sqft,3 Cr,₹16565 per sqft,Unfurnished,3,2 Covered,N/A
"1 BHK Flat for Sale in Krishnarajapura, Bangalore",558 sqft,95 Lac,₹12354 per sqft,Furnished,1,1 Covered,N/A
"3 BHK Flat for Sale in Mango Garden Layout, Bikasipura, Bangalore",1640 sqft,1.70 Cr,₹10366 per sqft,Semi-Furnished,3,1 Covered,N/A
"2 BHK Flat for Sale in Kundalahalli, Brookefield, Bangalore",1047 sqft,1.80 Cr,₹17192 per sqft,Semi-Furnished,2,N/A,N/A
"3 BHK Flat for Sale in Varthur, Bangalore",975 sqft,1.75 Cr,₹11359 per sqft,Unfurnished,2,1 Covered,N/A
"2 BHK Flat for Sale in Varthur, Bangalore",765 sqft,1.06 Cr,₹9584 per sqft,Furnished,2,1 Covered,N/A
"3 BHK Flat for Sale in Gunjur, Bangalore",1147 sqft,1.41 Cr,₹9215 per sqft,Unfurnished,2,N/A,N/A
"3 BHK Flat for Sale in Sarjapur Road, Bangalore",1609 sqft,1.51 Cr,₹9386 per sqft,Unfurnished,3,1 Covered,N/A
2 BHK Flat for Sale in Bangalore,900 sqft,79 Lac,₹7665 per sqft,Unfurnished,2,N/A,N/A
"3 BHK Flat for Sale in Kannuru, Bangalore",1100 sqft,1.85 Cr,₹10882 per sqft,Unfurnished,3,2 Covered,N/A
6 BHK House for Sale in Naagarabhaavi Bangalore,4200 sqft,4.75 Cr,₹10556 per sqft,Unfurnished,6,N/A,N/A
"2 BHK Flat for Sale in Bellandur, Outer Ring Road, Bangalore",1070 sqft,1.20 Cr,₹11215 per sqft,Unfurnished,2,N/A,Owner: Vishwas
"3 BHK Flat for Sale in Ganganagar, Bangalore",1356 sqft,2.35 Cr,₹12039 per sqft,Semi-Furnished,3,2 Covered,Owner: Praveen
"3 BHK Flat for Sale in Sarjapur Road, Bangalore",1400 sqft,2.50 Cr,₹14706 per sqft,Furnished,3,"1 Covered,",Owner: NIdhi nidhi
"3 BHK Flat for Sale in Hennur Gardens, Bangalore",2200 sqft,2.25 Cr,₹9514 per sqft,Semi-Furnished,4,N/A,Owner: D
"3 BHK Flat for Sale in Bommanahalli, Bangalore",1250 sqft,1.32 Cr,₹8800 per sqft,Semi-Furnished,2,1 Covered,Owner: lalith
"3 BHK Flat for Sale in Marathahalli Sarjapur Outer Ring Road, Bangalore",1700 sqft,3.35 Cr,₹17295 per sqft,Semi-Furnished,3,N/A,Agent: Quick Home
"3 BHK Flat for Sale in Yemalur, Bellandur, Bangalore",951 sqft,2.80 Cr,₹20725 per sqft,Furnished,2,N/A,Owner: Manjunath Shetty
5 BHK House for Sale in BEL Layout Vidyaranyapura Bangalore,3000 sqft,5.25 Cr,₹17500 per sqft,Semi-Furnished,6,2 Open,Owner: SEKAR
"3 BHK Flat for Sale in Nagamangala Devanahalli, Bangalore",857 sqft,1.16 Cr,₹8800 per sqft,Unfurnished,3,1 Covered,Agent: Echelon Property Consultants
"2 BHK Flat for Sale in Neeladri Nagar, Bangalore",1100 sqft,85 Lac,₹7456 per sqft,Furnished,2,1 Covered,Owner: AS Mondal
"2 BHK Flat for Sale in Brindavan Layout Shetty Halli, Bangalore",690 sqft,87 Lac,₹9613 per sqft,Semi-Furnished,2,N/A,Owner: Umesh
6 BHK Villa for Sale in Whitefield Bangalore,5100 sqft,14.40 Cr,₹28235 per sqft,Furnished,6,N/A,Agent: One Bangalore Realty
"2 BHK Flat for Sale in Rajajinagar, Bangalore",1500 sqft,5 Cr,₹27778 per sqft,Semi-Furnished,3,1 Covered,N/A
4 BHK Villa for Sale in Old Madras Road Bangalore,4500 sqft,10.50 Cr,₹23333 per sqft,Semi-Furnished,4,2 Covered,N/A
"3 BHK Flat for Sale in Block 1st Koramangala, Bangalore",1102 sqft,2.90 Cr,₹17890 per sqft,Unfurnished,3,N/A,N/A
"4 BHK Flat for Sale in Block 1st Koramangala, Bangalore",1884 sqft,4.80 Cr,₹17831 per sqft,Unfurnished,4,N/A,N/A
"3 BHK Flat for Sale in Arekere, Bangalore",1499 sqft,92 Lac,₹6137 per sqft,Unfurnished,2,1 Covered,N/A
"2 BHK Flat for Sale in Thanisandra Main Road, Bangalore",1070 sqft,2.15 Cr,₹16797 per sqft,Unfurnished,2,N/A,N/A
4 BHK Villa for Sale in Yelahanka Bangalore,3523 sqft,9.90 Cr,₹24596 per sqft,Unfurnished,6,N/A,N/A
"3 BHK Flat for Sale in Carmelaram, Bangalore",1305 sqft,3 Cr,₹16565 per sqft,Unfurnished,3,2 Covered,N/A
"1 BHK Flat for Sale in Krishnarajapura, Bangalore",558 sqft,95 Lac,₹12354 per sqft,Furnished,1,1 Covered,N/A
"3 BHK Flat for Sale in Mango Garden Layout, Bikasipura, Bangalore",1640 sqft,1.70 Cr,₹10366 per sqft,Semi-Furnished,3,1 Covered,N/A
"2 BHK Flat for Sale in Kundalahalli, Brookefield, Bangalore",1047 sqft,1.80 Cr,₹17192 per sqft,Semi-Furnished,2,N/A,N/A
"3 BHK Flat for Sale in Varthur, Bangalore",975 sqft,1.75 Cr,₹11359 per sqft,Unfurnished,2,1 Covered,N/A
"2 BHK Flat for Sale in Varthur, Bangalore",765 sqft,1.06 Cr,₹9584 per sqft,Furnished,2,1 Covered,N/A
"3 BHK Flat for Sale in Gunjur, Bangalore",1147 sqft,1.41 Cr,₹9215 per sqft,Unfurnished,2,N/A,N/A
"3 BHK Flat for Sale in Sarjapur Road, Bangalore",1609 sqft,1.51 Cr,₹9386 per sqft,Unfurnished,3,1 Covered,N/A
2 BHK Flat for Sale in Bangalore,900 sqft,79 Lac,₹7665 per sqft,Unfurnished,2,N/A,N/A
"3 BHK Flat for Sale in Kannuru, Bangalore",1100 sqft,1.85 Cr,₹10882 per sqft,Unfurnished,3,2 Covered,N/A
6 BHK House for Sale in Naagarabhaavi Bangalore,4200 sqft,4.75 Cr,₹10556 per sqft,Unfurnished,6,N/A,N/A
"2 BHK Flat for Sale in Bellandur, Outer Ring Road, Bangalore",1070 sqft,1.20 Cr,₹11215 per sqft,Unfurnished,2,N/A,Owner: Vishwas
"3 BHK Flat for Sale in Ganganagar, Bangalore",1356 sqft,2.35 Cr,₹12039 per sqft,Semi-Furnished,3,2 Covered,Owner: Praveen
"3 BHK Flat for Sale in Sarjapur Road, Bangalore",1400 sqft,2.50 Cr,₹14706 per sqft,Furnished,3,"1 Covered,",Owner: NIdhi nidhi
"3 BHK Flat for Sale in Hennur Gardens, Bangalore",2200 sqft,2.25 Cr,₹9514 per sqft,Semi-Furnished,4,N/A,Owner: D
"3 BHK Flat for Sale in Bommanahalli, Bangalore",1250 sqft,1.32 Cr,₹8800 per sqft,Semi-Furnished,2,1 Covered,Owner: lalith
"3 BHK Flat for Sale in Marathahalli Sarjapur Outer Ring Road, Bangalore",1700 sqft,3.35 Cr,₹17295 per sqft,Semi-Furnished,3,N/A,Agent: Quick Home
"3 BHK Flat for Sale in Yemalur, Bellandur, Bangalore",951 sqft,2.80 Cr,₹20725 per sqft,Furnished,2,N/A,Owner: Manjunath Shetty
5 BHK House for Sale in BEL Layout Vidyaranyapura Bangalore,3000 sqft,5.25 Cr,₹17500 per sqft,Semi-Furnished,6,2 Open,Owner: SEKAR
"3 BHK Flat for Sale in Nagamangala Devanahalli, Bangalore",857 sqft,1.16 Cr,₹8800 per sqft,Unfurnished,3,1 Covered,Agent: Echelon Property Consultants
"2 BHK Flat for Sale in Neeladri Nagar, Bangalore",1100 sqft,85 Lac,₹7456 per sqft,Furnished,2,1 Covered,Owner: AS Mondal
"2 BHK Flat for Sale in Brindavan Layout Shetty Halli, Bangalore",690 sqft,87 Lac,₹9613 per sqft,Semi-Furnished,2,N/A,Owner: Umesh
6 BHK Villa for Sale in Whitefield Bangalore,5100 sqft,14.40 Cr,₹28235 per sqft,Furnished,6,N/A,Agent: One Bangalore Realty
"2 BHK Flat for Sale in Rajajinagar, Bangalore",1500 sqft,5 Cr,₹27778 per sqft,Semi-Furnished,3,1 Covered,N/A
4 BHK Villa for Sale in Old Madras Road Bangalore,4500 sqft,10.50 Cr,₹23333 per sqft,Semi-Furnished,4,2 Covered,N/A
"3 BHK Flat for Sale in Block 1st Koramangala, Bangalore",1102 sqft,2.90 Cr,₹17890 per sqft,Unfurnished,3,N/A,N/A
"4 BHK Flat for Sale in Block 1st Koramangala, Bangalore",1884 sqft,4.80 Cr,₹17831 per sqft,Unfurnished,4,N/A,N/A
"3 BHK Flat for Sale in Arekere, Bangalore",1499 sqft,92 Lac,₹6137 per sqft,Unfurnished,2,1 Covered,N/A
"2 BHK Flat for Sale in Thanisandra Main Road, Bangalore",1070 sqft,2.15 Cr,₹16797 per sqft,Unfurnished,2,N/A,N/A
4 BHK Villa for Sale in Yelahanka Bangalore,3523 sqft,9.90 Cr,₹24596 per sqft,Unfurnished,6,N/A,N/A
"3 BHK Flat for Sale in Carmelaram, Bangalore",1305 sqft,3 Cr,₹16565 per sqft,Unfurnished,3,2 Covered,N/A
"1 BHK Flat for Sale in Krishnarajapura, Bangalore",558 sqft,95 Lac,₹12354 per sqft,Furnished,1,1 Covered,N/A
"3 BHK Flat for Sale in Mango Garden Layout, Bikasipura, Bangalore",1640 sqft,1.70 Cr,₹10366 per sqft,Semi-Furnished,3,1 Covered,N/A
"2 BHK Flat for Sale in Kundalahalli, Brookefield, Bangalore",1047 sqft,1.80 Cr,₹17192 per sqft,Semi-Furnished,2,N/A,N/A
"3 BHK Flat for Sale in Varthur, Bangalore",975 sqft,1.75 Cr,₹11359 per sqft,Unfurnished,2,1 Covered,N/A
"2 BHK Flat for Sale in Varthur, Bangalore",765 sqft,1.06 Cr,₹9584 per sqft,Furnished,2,1 Covered,N/A
"3 BHK Flat for Sale in Gunjur, Bangalore",1147 sqft,1.41 Cr,₹9215 per sqft,Unfurnished,2,N/A,N/A
"3 BHK Flat for Sale in Sarjapur Road, Bangalore",1609 sqft,1.51 Cr,₹9386 per sqft,Unfurnished,3,1 Covered,N/A
2 BHK Flat for Sale in Bangalore,900 sqft,79 Lac,₹7665 per sqft,Unfurnished,2,N/A,N/A
"3 BHK Flat for Sale in Kannuru, Bangalore",1100 sqft,1.85 Cr,₹10882 per sqft,Unfurnished,3,2 Covered,N/A
6 BHK House for Sale in Naagarabhaavi Bangalore,4200 sqft,4.75 Cr,₹10556 per sqft,Unfurnished,6,N/A,N/A
"2 BHK Flat for Sale in Bellandur, Outer Ring Road, Bangalore",1070 sqft,1.20 Cr,₹11215 per sqft,Unfurnished,2,N/A,Owner: Vishwas
"3 BHK Flat for Sale in Ganganagar, Bangalore",1356 sqft,2.35 Cr,₹12039 per sqft,Semi-Furnished,3,2 Covered,Owner: Praveen
"3 BHK Flat for Sale in Sarjapur Road, Bangalore",1400 sqft,2.50 Cr,₹14706 per sqft,Furnished,3,"1 Covered,",Owner: NIdhi nidhi
"3 BHK Flat for Sale in Hennur Gardens, Bangalore",2200 sqft,2.25 Cr,₹9514 per sqft,Semi-Furnished,4,N/A,Owner: D
"3 BHK Flat for Sale in Bommanahalli, Bangalore",1250 sqft,1.32 Cr,₹8800 per sqft,Semi-Furnished,2,1 Covered,Owner: lalith
"3 BHK Flat for Sale in Marathahalli Sarjapur Outer Ring Road, Bangalore",1700 sqft,3.35 Cr,₹17295 per sqft,Semi-Furnished,3,N/A,Agent: Quick Home
"3 BHK Flat for Sale in Yemalur, Bellandur, Bangalore",951 sqft,2.80 Cr,₹20725 per sqft,Furnished,2,N/A,Owner: Manjunath Shetty
5 BHK House for Sale in BEL Layout Vidyaranyapura Bangalore,3000 sqft,5.25 Cr,₹17500 per sqft,Semi-Furnished,6,2 Open,Owner: SEKAR
"3 BHK Flat for Sale in Nagamangala Devanahalli, Bangalore",857 sqft,1.16 Cr,₹8800 per sqft,Unfurnished,3,1 Covered,Agent: Echelon Property Consultants
"2 BHK Flat for Sale in Neeladri Nagar, Bangalore",1100 sqft,85 Lac,₹7456 per sqft,Furnished,2,1 Covered,Owner: AS Mondal
"2 BHK Flat for Sale in Brindavan Layout Shetty Halli, Bangalore",690 sqft,87 Lac,₹9613 per sqft,Semi-Furnished,2,N/A,Owner: Umesh
6 BHK Villa for Sale in Whitefield Bangalore,5100 sqft,14.40 Cr,₹28235 per sqft,Furnished,6,N/A,Agent: One Bangalore Realty
"2 BHK Flat for Sale in Rajajinagar, Bangalore",1500 sqft,5 Cr,₹27778 per sqft,Semi-Furnished,3,1 Covered,N/A
4 BHK Villa for Sale in Old Madras Road Bangalore,4500 sqft,10.50 Cr,₹23333 per sqft,Semi-Furnished,4,2 Covered,N/A
"3 BHK Flat for Sale in Block 1st Koramangala, Bangalore",1102 sqft,2.90 Cr,₹17890 per sqft,Unfurnished,3,N/A,N/A
"4 BHK Flat for Sale in Block 1st Koramangala, Bangalore",1884 sqft,4.80 Cr,₹17831 per sqft,Unfurnished,4,N/A,N/A
"3 BHK Flat for Sale in Arekere, Bangalore",1499 sqft,92 Lac,₹6137 per sqft,Unfurnished,2,1 Covered,N/A
"2 BHK Flat for Sale in Thanisandra Main Road, Bangalore",1070 sqft,2.15 Cr,₹16797 per sqft,Unfurnished,2,N/A,N/A
4 BHK Villa for Sale in Yelahanka Bangalore,3523 sqft,9.90 Cr,₹24596 per sqft,Unfurnished,6,N/A,N/A
"3 BHK Flat for Sale in Carmelaram, Bangalore",1305 sqft,3 Cr,₹16565 per sqft,Unfurnished,3,2 Covered,N/A
"1 BHK Flat for Sale in Krishnarajapura, Bangalore",558 sqft,95 Lac,₹12354 per sqft,Furnished,1,1 Covered,N/A
"3 BHK Flat for Sale in Mango Garden Layout, Bikasipura, Bangalore",1640 sqft,1.70 Cr,₹10366 per sqft,Semi-Furnished,3,1 Covered,N/A
"2 BHK Flat for Sale in Kundalahalli, Brookefield, Bangalore",1047 sqft,1.80 Cr,₹17192 per sqft,Semi-Furnished,2,N/A,N/A
"3 BHK Flat for Sale in Varthur, Bangalore",975 sqft,1.75 Cr,₹11359 per sqft,Unfurnished,2,1 Covered,N/A
"2 BHK Flat for Sale in Varthur, Bangalore",765 sqft,1.06 Cr,₹9584 per sqft,Furnished,2,1 Covered,N/A
"3 BHK Flat for Sale in Gunjur, Bangalore",1147 sqft,1.41 Cr,₹9215 per sqft,Unfurnished,2,N/A,N/A
"3 BHK Flat for Sale in Sarjapur Road, Bangalore",1609 sqft,1.51 Cr,₹9386 per sqft,Unfurnished,3,1 Covered,N/A
2 BHK Flat for Sale in Bangalore,900 sqft,79 Lac,₹7665 per sqft,Unfurnished,2,N/A,N/A
"3 BHK Flat for Sale in Kannuru, Bangalore",1100 sqft,1.85 Cr,₹10882 per sqft,Unfurnished,3,2 Covered,N/A
6 BHK House for Sale in Naagarabhaavi Bangalore,4200 sqft,4.75 Cr,₹10556 per sqft,Unfurnished,6,N/A,N/A
